BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,Id
1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,745,21, ,C6,"325 WEST 21ST STREET, 12A17", ,10011,0,0,0, -  , -  ,1864,1350000,287
3,PARK SLOPE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,964,1305, ,R1,263 1ST STREET,2,11215,1,0,1,0,0,2015,1476587,45006
1,LITTLE ITALY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,480,1103, ,R1,372 BROOME STREET,2B,10013,1,0,1, -  , -  ,1900,3900000,6727
2,KINGSBRIDGE HTS/UNIV HTS,10 COOPS - ELEVATOR APARTMENTS             ,2,3226,53, ,D4,"9 FORDHAM HILL OVAL, 12H", ,10468,0,0,0,0,0,1950,95000,20539
1,WASHINGTON HEIGHTS UPPER,10 COOPS - ELEVATOR APARTMENTS             ,2,2179,1, ,D4,"875 WEST 181 STREET, 2C", ,10033,0,0,0, -  , -  ,1917,490000,18104
4,NEPONSIT,01 ONE FAMILY DWELLINGS                    ,1,16296,56, ,A1,14516 NEWPORT AVENUE, ,11694,1,0,1,4000,1992,1955,555000,67607
4,WHITESTONE,09 COOPS - WALKUP APARTMENTS               ,2,4744,28, ,C6,"159-12 16 AVENUE, 6-75", ,11357,0,0,0, -  , -  ,1951,145000,75193
4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,10614,36, ,A1,93-32 214TH STREET, ,11428,1,0,1,2500,1088,1920,490000,68666
3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,7966,64, ,B1,554 EAST 88TH STREET, ,11236,2,0,2,2158,2859,1965,580000,32328
5,GRANT CITY,22 STORE BUILDINGS                         ,4,883,27, ,K2,1657 RICHMOND ROAD, ,10304,0,1,1,16761,9898,2008,6150000,78177
5,ROSSVILLE-PORT MOBIL,29 COMMERCIAL GARAGES                      ,4,7206,37, ,G1,566 INDUSTRIAL LOOP, ,10309,0,1,1,16567,1940,1986,900000,82565
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,2,2162,122, ,D4,"6120 GRAND CENTRAL PARKWA, A1000", ,11375,0,0,0, -  , -  ,1965,130000,60590
4,HILLCREST,13 CONDOS - ELEVATOR APARTMENTS            ,2,6713,2081, ,R4,152-18 UNION TURNPIKE,205O,11367,1,0,1, -  , -  ,1973,580000,62279
4,ASTORIA,03 THREE FAMILY DWELLINGS                  ,1,745,60, ,C0,25-66 50TH   STREET, ,11377,3,0,3,2120,2920,1955,750000,50097
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1914,144, ,C5,126 WEST 130TH, ,10027,4,0,4,1665,2497,1910,1600000,4917
4,OAKLAND GARDENS,01 ONE FAMILY DWELLINGS                    ,1,7650,49, ,A2,61-11 CLOVERDALE BOULEVARD, ,11364,1,0,1,4300,1144,1955,910000,67666
1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,772,12, ,C6,"261 W 22 ST, 5", ,10011,0,0,0, -  , -  ,1917,582500,316
2,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,5771,20, ,D4,"3600 FIELDSTON ROAD, 6K", ,10463,0,0,0,0,0,1941,145000,22928
4,ASTORIA,01 ONE FAMILY DWELLINGS                    ,1,808,56, ,A5,21-58 38TH   STREET, ,11105,1,0,1,2000,1490,1930,999000,49662
4,REGO PARK,10 COOPS - ELEVATOR APARTMENTS             ,2,3082,82, ,D4,"63-109 SAUNDERS STREET, A13", ,11374,0,0,0, -  , -  ,1942,235000,69611
4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,10640,4, ,A1,9106 215TH PLACE, ,11428,1,0,1,3400,1130,1920,10,68701
2,WESTCHESTER,01 ONE FAMILY DWELLINGS                    ,1,3966,32, ,A2,2223 LYON AVENUE, ,10462,1,0,1,2187,1586,1920,425000,24698
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,5227,3, ,A1,2032 TILLOTSON AVENUE, ,10475,1,0,1,3750,1712,1955,410000,18517
4,FLUSHING-SOUTH,09 COOPS - WALKUP APARTMENTS               ,2,6658,39, ,C6,"144-43 71ST ROAD, 12B", ,11367,0,0,0, -  , -  ,1949,245000,59814
3,BOERUM HILL,13 CONDOS - ELEVATOR APARTMENTS            ,2,176,1036, ,R4,87 SMITH STREET,10A,11201,1,0,1,0,0,0,810000,28796
3,OCEAN PARKWAY-SOUTH,02 TWO FAMILY DWELLINGS                    ,1,7176,8, ,B1,356 AVENUE W, ,11223,2,0,2,2017,2112,1950,800000,43905
4,REGO PARK,10 COOPS - ELEVATOR APARTMENTS             ,2,3151,103, ,D4,"65-15 ALDERTON, 5A", ,11374,0,0,0, -  , -  ,1964,212940,69663
3,FLATBUSH-CENTRAL,10 COOPS - ELEVATOR APARTMENTS             ,2,5247,16, ,D4,"645 EAST 26TH STREET, 1J", ,11210,0,0,0,0,0,1931,185000,37614
1,GREENWICH VILLAGE-WEST,10 COOPS - ELEVATOR APARTMENTS             ,2,616,11, ,D4,"14 HORATIO STREET, 9A", ,10014,0,0,0, -  , -  ,1960,620000,4403
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1508,1030, ,R4,127 EAST 79TH   STREET,PH17E,10075,1,0,1, -  , -  ,2012,17310250,14430
5,ELTINGVILLE,01 ONE FAMILY DWELLINGS                    ,1,5685,26, ,A1,24 DIERAUF STREET, ,10312,1,0,1,4000,2184,1975,653000,77876
5,PLEASANT PLAINS,02 TWO FAMILY DWELLINGS                    ,1,7534,345, ,B2,92 SAVO LOOP, ,10309,2,0,2,3800,2250,1997,745000,81498
3,OCEAN HILL,02 TWO FAMILY DWELLINGS                    ,1,1505,65, ,B3,441 BAINBRIDGE STREET, ,11233,2,0,2,1800,1260,1899,678345,42885
4,KEW GARDENS,01 ONE FAMILY DWELLINGS                    ,1,3349,19, ,A3,119-24 80TH   ROAD, ,11415,1,0,1,5000,2720,1920,1300000,65146
4,ASTORIA,07 RENTALS - WALKUP APARTMENTS             ,2A,783,38, ,C2,42-07 23RD   AVENUE, ,11105,6,0,6,2500,3780,1922,1650000,50251
4,KEW GARDENS,13 CONDOS - ELEVATOR APARTMENTS            ,2,9266,1030, ,R4,85-15 120TH   STREET,4E,11415,1,0,1, -  , -  ,2013,616041,65458
4,LAURELTON,01 ONE FAMILY DWELLINGS                    ,1,12941,44, ,A2,131-28 231ST   STREET, ,11413,1,0,1,4000,1233,1940,349500,65612
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS             ,2,1371,14, ,D4,"45 SUTTON PLACE SOUTH, 11I", ,10022,0,0,0, -  , -  ,1958,1732500,8198
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1445,7, ,D4,"315 E 70TH STREET, 3E", ,10021,0,0,0, -  , -  ,1960,1250000,12467
2,THROGS NECK,02 TWO FAMILY DWELLINGS                    ,1,5526,31, ,B1,4350 LOCUST POINT DRIVE, ,10465,2,0,2,5000,2000,1940,380000,24291
3,BEDFORD STUYVESANT,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,1974,1201, ,R1,138 QUINCY STREET,1,11216,1,0,1,0,0,2015,1059000,27759
1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1195,29, ,D4,"7 WEST 81ST STREET, 10A", ,10024,0,0,0, -  , -  ,1929,7150000,16664
3,BOROUGH PARK,03 THREE FAMILY DWELLINGS                  ,1,5709,38, ,C0,5904 11TH   AVENUE, ,11219,3,0,3,6017,3150,1960,2705000,29566
5,NEW DORP,04 TAX CLASS 1 CONDOS                      ,1A,4229,1072, ,R3,22B FRANCINE COURT,108B,10306,1,0,1, -  , -  ,1988,215000,80504
1,FINANCIAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,44,1316, ,R4,20 PINE STREET,2212,10005,1,0,1, -  , -  ,1928,860000,2477
4,HILLCREST,13 CONDOS - ELEVATOR APARTMENTS            ,2,6713,2077, ,R4,152-18 UNION TURNPIKE,205K,11367,1,0,1, -  , -  ,1973,412000,62278
1,UPPER WEST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1171,2531, ,R4,50 RIVERSIDE BOULEVARD,PH5A,10069,1,0,1, -  , -  ,2013,16296000,16112
1,CHELSEA,17 CONDO COOPS                             ,2C,792,1102, ,R9,"161 WEST 16TH STREET, 14G", ,10011,0,0,0, -  , -  ,1908,1160000,923
1,UPPER WEST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1223,1522, ,R4,134 WEST 93RD STREET,4F,10025,1,0,1, -  , -  ,1925,737213,17161
4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,1,12313,50, ,B2,157-19 NORTH CONDUIT AVENUE, ,11434,2,0,2,4324,2760,1960,10,73719
3,OCEAN PARKWAY-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,5391,61, ,D4,"599 EAST 7TH STREET, 2S", ,11218,0,0,0,0,0,1961,270000,43579
4,ASTORIA,27 FACTORIES                               ,4,552,15, ,F5,31-05 21ST   STREET, ,11106,0,1,1,3370,2685,1930,2750000,50649
3,FLATLANDS,02 TWO FAMILY DWELLINGS                    ,1,7803,60, ,B1,1150 EAST 56TH STREET, ,11234,2,0,2,2383,2478,1965,417254,39272
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS                    ,1,7743,36, ,A9,1033 E 39TH STREET, ,11210,1,0,1,2000,1310,1910,499000,37990
3,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,7645,36, ,A1,1223 EAST 27TH STREET, ,11210,1,0,1,3750,2105,1915,2020000,42289
4,ROCKAWAY PARK,13 CONDOS - ELEVATOR APARTMENTS            ,2,16226,1064, ,R4,136 BEACH 117 STREET,6G,11694,1,0,1, -  , -  ,2005,415000,71240
1,GREENWICH VILLAGE-CENTRAL,10 COOPS - ELEVATOR APARTMENTS             ,2,548,28, ,D4,"50 EAST 8TH, 5R", ,10003,0,0,0, -  , -  ,1952,385000,3656
4,REGO PARK,13 CONDOS - ELEVATOR APARTMENTS            ,2,3100,1130, ,R4,65-50 WETHEROLE STREET,6E,11374,1,0,1, -  , -  ,1963,518289,69804
1,HARLEM-CENTRAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,1916,1281, ,R4,171 WEST 131 STREET,603,10027,1,0,1, -  , -  ,2013,710738,5345
4,FLUSHING-NORTH,02 TWO FAMILY DWELLINGS                    ,1,5405,8, ,B3,147-32 DELAWARE AVENUE, ,11355,2,0,2,5000,1992,1920,1500000,57001
4,HILLCREST,01 ONE FAMILY DWELLINGS                    ,1,7046,47, ,A5,82-90 167TH   STREET, ,11432,1,0,1,1660,856,1935,449000,62191
1,MIDTOWN EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1365,1039, ,R4,411 EAST 53RD   STREET,4K,10022,1,0,1, -  , -  ,1958,1140000,8616
4,BAYSIDE,10 COOPS - ELEVATOR APARTMENTS             ,2,7474,50, ,D4,"220-55 46TH AVENUE, 5Z", ,11361,0,0,0, -  , -  ,1961,253000,51861
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,5153,17, ,A0,137-30 NEGUNDO AVENUE, ,11355,1,0,1,3183,1356,1950,920000,56250
4,QUEENS VILLAGE,02 TWO FAMILY DWELLINGS                    ,1,10730,31, ,B3,93-43 220TH   STREET, ,11428,2,0,2,6000,1726,1910,725000,69060
4,OZONE PARK,02 TWO FAMILY DWELLINGS                    ,1,9062,11, ,B2,97-18 89 ST, ,11416,2,0,2,2600,1648,1910,620000,68292
5,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS                    ,1,7702,343, ,A5,20 CRANBERRY COURT, ,10309,1,0,1,1488,1350,2002,380000,81478
1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,896,32, ,D4,"230 EAST 15TH STREET, 11H", ,10003,0,0,0, -  , -  ,1961,1100000,3242
1,UPPER WEST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1184,31, ,D4,"11 RIVERSIDE DRIVE, 11 OW", ,10023,0,0,0, -  , -  ,1950,760000,15516
5,NEW DORP-HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,4338,39, ,A5,18 MOBILE AVENUE, ,10306,1,0,1,2550,1360,1965,453000,80683
4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS                    ,1,12190,32, ,A5,155-54 115TH   AVENUE, ,11434,1,0,1,2000,1152,1950,295000,71888
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS            ,2,84,1046, ,R4,140 WEST STREET,12M,10007,1,0,1, -  , -  ,1930,3000000,11298
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6459,123, ,B9,297 BAY 8TH   STREET, ,11228,2,0,2,1442,1550,1925,830000,25451
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,5066,1929, ,R4,131-05 40TH   ROAD,PH1Q,11354,1,0,1, -  , -  ,2015,1183448,58477
2,MORRIS PARK/VAN NEST,14 RENTALS - 4-10 UNIT                     ,2A,4123,16, ,S3,1840 BRONXDALE AVENUE, ,10462,3,1,4,2559,4600,1961,575000,21272
4,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS                    ,1,12314,140, ,A1,140-20 159 STREET, ,11434,1,0,1,2500,912,1930,440000,73400
3,GRAVESEND,10 COOPS - ELEVATOR APARTMENTS             ,2,6919,1, ,D4,"2483 WEST 16TH STREET, 7C", ,11214,0,0,0,0,0,1963,410000,40435
2,PELHAM PARKWAY NORTH,01 ONE FAMILY DWELLINGS                    ,1,4365,35, ,A5,2224 ESPLANADE, ,10469,1,0,1,2352,1636,1960,585000,22411
1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1195,23, ,D4,"11 WEST 81ST STREET, 1B", ,10024,0,0,0, -  , -  ,1908,1250000,16655
3,BAY RIDGE,01 ONE FAMILY DWELLINGS                    ,1,6142,92, ,A5,219 DAHLGREN PLACE, ,11228,1,0,1,2506,2268,1930,875000,25783
2,KINGSBRIDGE/JEROME PARK,10 COOPS - ELEVATOR APARTMENTS             ,2,5783,300, ,D4,"511 WEST 232ND STREET, E66", ,10463,0,0,0,0,0,1937,240000,20732
4,OAKLAND GARDENS,09 COOPS - WALKUP APARTMENTS               ,2,7739,3, ,C6,"219-29 74TH AVENUE, A", ,11364,0,0,0, -  , -  ,1952,255000,67868
1,UPPER WEST SIDE (96-116),10 COOPS - ELEVATOR APARTMENTS             ,2,1871,20, ,D4,"233 WEST 99TH STREET, 16A", ,10025,0,0,0, -  , -  ,1930,365000,17570
3,WYCKOFF HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,3400,19, ,B1,367 WEIRFIELD STREET, ,11237,2,0,2,2000,3300,1910,1555000,49319
5,BULLS HEAD,01 ONE FAMILY DWELLINGS                    ,1,1682,99, ,A5,28 ELEANOR PLACE, ,10303,1,0,1,3003,1159,1988,395000,76836
4,HOLLIS,02 TWO FAMILY DWELLINGS                    ,1,10892,49, ,B3,104-15 196TH STREET, ,11412,2,0,2,4000,1984,1925,790000,62698
1,UPPER WEST SIDE (79-96),09 COOPS - WALKUP APARTMENTS               ,2,1245,16, ,C6,"307 WEST 82ND STREET, C", ,10024,0,0,0, -  , -  ,1910,700000,16623
3,BROOKLYN HEIGHTS,09 COOPS - WALKUP APARTMENTS               ,2C,243,37, ,C6,"108 PIERREPONT STR, 6", ,11201,0,0,0,0,0,1900,1065000,30731
4,CORONA,04 TAX CLASS 1 CONDOS                      ,1A,1760,1014, ,R3,37-28 98TH   STREET,2C,11368,1,0,1, -  , -  ,0,314000,53791
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1438,413, ,R4,340 EAST 64TH STREET,4N,10065,1,0,1, -  , -  ,0,1595000,12974
3,OCEAN PARKWAY-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,5495,1018, ,D4,"1170 OCEAN PARKWAY, 6E", ,11230,0,0,0,0,0,1965,550000,43621
3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,8198,9, ,B1,1285 REMSEN AVENUE, ,11236,2,0,2,2724,2160,1950,155695,32538
3,OCEAN PARKWAY-NORTH,02 TWO FAMILY DWELLINGS                    ,1,6608,60, ,S2,1789 MC DONALD AVENUE, ,11230,2,1,3,2240,2950,1931,840000,43432
2,CASTLE HILL/UNIONPORT,02 TWO FAMILY DWELLINGS                    ,1,3692,50, ,B2,867 HAVEMEYER AVENUE, ,10473,2,0,2,2285,2516,1920,10,19525
3,BENSONHURST,01 ONE FAMILY DWELLINGS                    ,1,6203,21, ,A9,1626 73RD   STREET, ,11204,1,0,1,1600,1030,1920,697000,27939
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1484,1271, ,R4,515 EAST 72ND   STREET,26F,10021,1,0,1, -  , -  ,1985,2128000,13155
3,BOROUGH PARK,02 TWO FAMILY DWELLINGS                    ,1,6563,53, ,B1,1353 DAHILL ROAD, ,11204,2,0,2,2000,1720,1930,995000,29396
3,BAY RIDGE,09 COOPS - WALKUP APARTMENTS               ,2,6137,200, ,C6,"332 101ST STREET, 34E", ,11209,0,0,0,0,0,1983,550000,26126
2,CASTLE HILL/UNIONPORT,01 ONE FAMILY DWELLINGS                    ,1,3511,43, ,A5,447 TURNEUR, ,10473,1,0,1,1949,1594,1960,419000,19441
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,1440,1, ,D4,"33-04 93RD STREET, 4L", ,11372,0,0,0, -  , -  ,1958,300000,64284
3,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS                    ,1,4903,28, ,B1,1050 NEW YORK AVENUE, ,11203,2,0,2,2048,1200,1899,750000,38145
4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,1,13273,19, ,B2,144-33 167TH   STREET, ,11434,2,0,2,4000,900,1931,730000,73843
3,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS                    ,1,4874,7, ,B1,450 LINDEN BOULEVARD, ,11203,2,0,2,4000,3924,1920,10,38108
4,FAR ROCKAWAY,03 THREE FAMILY DWELLINGS                  ,1,15655,8, ,C0,2294 NAMEOKE AVENUE, ,11691,3,0,3,1833,2880,2004,399000,55669
3,DOWNTOWN-FULTON FERRY,13 CONDOS - ELEVATOR APARTMENTS            ,2,31,1442, ,R4,51 JAY STREET,4D,11201,1,0,1,0,0,1905,2190255,35256
3,WILLIAMSBURG-NORTH,04 TAX CLASS 1 CONDOS                      ,1A,2359,1002, ,R3,258 BEDFORD AVENUE,2,11249,1,0,1,0,0,1991,999000,48290
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1544,1097, ,R4,350 EAST 82ND STREET,8B,10028,1,0,1, -  , -  ,1998,870000,14706
3,PARK SLOPE,13 CONDOS - ELEVATOR APARTMENTS            ,2,981,1026, ,R4,353 4TH AVENUE,3K,11215,1,0,1,0,0,2006,675000,44929
3,KENSINGTON,10 COOPS - ELEVATOR APARTMENTS             ,2,5307,70, ,D4,"40 TEHAMA STREET, 4G", ,11218,0,0,0,0,0,1931,351858,41177
5,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,5772,97, ,A5,22 REGINA LANE, ,10312,1,0,1,1085,1690,1989,409999,76426
2,WAKEFIELD,02 TWO FAMILY DWELLINGS                    ,1,5026,71, ,B9,4128 MURDOCK AVENUE, ,10466,2,0,2,1600,1536,1945,225000,24572
1,UPPER WEST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS             ,2B,1250,11, ,C5,341 WEST 88TH STREET, ,10024,10,0,10,2014,6674,1900,6696625,16552
3,OCEAN HILL,07 RENTALS - WALKUP APARTMENTS             ,2A,1570,1, ,C5,2121 ATLANTIC AVENUE, ,11233,6,0,6,1498,4348,2005,1119567,43127
3,SHEEPSHEAD BAY,04 TAX CLASS 1 CONDOS                      ,1A,7411,1002, ,R3,2436 EAST 11TH   STREET,2A,11235,1,0,1,0,0,2015,590585,46212
